letters:0,prose_miscellaneous_or_technical_treatise_or_oratory_or_history_or_philosophy:1
Filename,Genre
tesserae/texts/grc/achilles_tatius.leucippe_et_clitophon.tess,1
tesserae/texts/grc/aelian.de_natura_animalium.tess,1
tesserae/texts/grc/aelian.epistulae_rusticae.tess,0
tesserae/texts/grc/aelian.varia_historia.tess,1
tesserae/texts/grc/aelius_aristides.ars_rhetorica.tess,1
tesserae/texts/grc/aelius_aristides.orationes.tess,1
tesserae/texts/grc/aeschines.against_ctesiphon.tess,1
tesserae/texts/grc/aeschines.against_timarchus.tess,1
tesserae/texts/grc/aeschines.on_the_embassy.tess,1
tesserae/texts/grc/andocides.against_alcibiades.tess,1
tesserae/texts/grc/andocides.on_his_return.tess,1
tesserae/texts/grc/andocides.on_the_mysteries.tess,1
tesserae/texts/grc/andocides.on_the_peace.tess,1
tesserae/texts/grc/antiphon.speeches.tess,1
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.1.against_the_stepmother_for_poisoning.tess,1
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.2.first_tetralogy.tess,1
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.3.second_tetralogy.tess,1
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.4.third_tetralogy.tess,1
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.5.on_the_murder_of_herodes.tess,1
tesserae/texts/grc/antiphon.speeches/antiphon.speeches.part.6.on_the_choreutes.tess,1
tesserae/texts/grc/apollodorus.epitome.tess,1
tesserae/texts/grc/apollodorus.library.tess,1
tesserae/texts/grc/appian.civil_wars.tess,1
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.1.tess,1
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.2.tess,1
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.3.tess,1
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.4.tess,1
tesserae/texts/grc/appian.civil_wars/appian.civil_wars.part.5.tess,1
tesserae/texts/grc/aretaeus.curatione_acutorum_morbum.tess,1
tesserae/texts/grc/aretaeus.signorum_acutorum_morbum.tess,1
tesserae/texts/grc/aristotle.constitution.tess,1
tesserae/texts/grc/aristotle.economics.tess,1
tesserae/texts/grc/aristotle.eudemian_ethics.tess,1
tesserae/texts/grc/aristotle.metaphysics.tess,1
tesserae/texts/grc/aristotle.nicomachean_ethics.tess,1
tesserae/texts/grc/aristotle.poetics.tess,1
tesserae/texts/grc/aristotle.politics.tess,1
tesserae/texts/grc/aristotle.rhetoric.tess,1
tesserae/texts/grc/aristotle.virtues_and_vices.tess,1
tesserae/texts/grc/athenaeus.deipnosophists.tess,1
tesserae/texts/grc/barnabas.barnabae_epistulae.tess,0
tesserae/texts/grc/basil_of_caesarea.de_legendis.tess,1
tesserae/texts/grc/basil_of_caesarea.epistulae.tess,0
tesserae/texts/grc/callistratus.statuarum_descriptiones.tess,1
tesserae/texts/grc/chariton.de_chaerea.tess,1
tesserae/texts/grc/clement.exhortation.tess,1
tesserae/texts/grc/clement.protrepticus.tess,1
tesserae/texts/grc/clement.quis_dis_salvetur.tess,1
tesserae/texts/grc/demades.on_the_twelve_years.tess,1
tesserae/texts/grc/demetrius.elocutione.tess,1
tesserae/texts/grc/demosthenes.against_androtion.tess,1
tesserae/texts/grc/demosthenes.against_apatourius.tess,1
tesserae/texts/grc/demosthenes.against_aphobus_1.tess,1
tesserae/texts/grc/demosthenes.against_aphobus_2.tess,1
tesserae/texts/grc/demosthenes.against_aphobus_3.tess,1
